2018-2-13 11:47:31 EST074 MOVED
2018-2-13 11:47:31 EST073 MOVED
2018-2-13 11:47:35 EST073 STILL
2018-2-13 11:47:36 EST074 STILL
2018-2-13 11:47:37 EST073 MOVED
2018-2-13 11:47:38 EST074 MOVED
2018-2-13 11:47:40 EST074 STILL
2018-2-13 11:47:40 EST030 MOVED
2018-2-13 11:47:40 EST123 MOVED
2018-2-13 11:47:41 EST073 STILL
2018-2-13 11:47:41 EST074 MOVED
2018-2-13 11:47:42 EST030 STILL
2018-2-13 11:47:43 EST073 MOVED
2018-2-13 11:47:43 EST030 MOVED
2018-2-13 11:47:44 EST073 STILL
2018-2-13 11:47:44 EST074 STILL
2018-2-13 11:47:44 EST030 STILL
2018-2-13 11:47:44 EST123 STILL
2018-2-13 11:47:46 EST074 MOVED
2018-2-13 11:47:47 EST074 STILL
2018-2-13 11:47:49 EST030 MOVED
2018-2-13 11:47:50 EST073 MOVED
2018-2-13 11:47:50 EST074 MOVED
2018-2-13 11:47:50 EST123 MOVED
2018-2-13 11:47:51 EST073 STILL
2018-2-13 11:47:54 EST122 MOVED
2018-2-13 11:47:54 EST100 MOVED
2018-2-13 11:47:57 EST122 STILL
2018-2-13 11:47:57 EST100 STILL
2018-2-13 11:47:58 EST074 STILL
2018-2-13 11:47:58 EST030 STILL
2018-2-13 11:47:58 EST123 STILL
2018-2-13 11:48:00 EST073 MOVED
2018-2-13 11:48:00 EST030 MOVED
2018-2-13 11:48:00 EST123 MOVED
2018-2-13 11:48:00 EST100 MOVED
2018-2-13 11:48:01 EST074 MOVED
2018-2-13 11:48:01 EST122 MOVED
2018-2-13 11:48:02 EST071 MOVED
